"Date","treatment","female.num","male.num"
"2-May","Ca",0,9
"5-May","Ca",0,67
"8-May","Ca",7,9
"11-May","Ca",13,1
"14-May","Ca",34,0
"17-May","Ca",0,0
"20-May","Ca",0,0
"2-May","Cb",0,14
"5-May","Cb",2,54
"8-May","Cb",5,9
"11-May","Cb",8,1
"14-May","Cb",33,0
"17-May","Cb",0,0
"20-May","Cb",1,0
"2-May","Cc",0,3
"5-May","Cc",1,66
"8-May","Cc",6,9
"11-May","Cc",11,1
"14-May","Cc",39,1
"17-May","Cc",0,0
"20-May","Cc",1,0
"2-May","Cd",0,4
"5-May","Cd",1,62
"8-May","Cd",5,9
"11-May","Cd",16,5
"14-May","Cd",34,1
"17-May","Cd",0,0
"20-May","Cd",0,0
"2-May","Ce",0,10
"5-May","Ce",3,63
"8-May","Ce",9,8
"11-May","Ce",11,1
"14-May","Ce",27,0
"17-May","Ce",0,1
"20-May","Ce",1,0
"2-May","Cf",0,19
"5-May","Cf",0,51
"8-May","Cf",11,6
"11-May","Cf",3,2
"14-May","Cf",42,3
"17-May","Cf",0,0
"20-May","Cf",0,0
"2-May","Cg",1,7
"5-May","Cg",2,49
"8-May","Cg",6,3
"11-May","Cg",9,1
"14-May","Cg",36,2
"17-May","Cg",0,0
"20-May","Cg",0,0
"2-May","Ch",0,17
"5-May","Ch",7,71
"8-May","Ch",11,9
"11-May","Ch",11,2
"14-May","Ch",30,3
"17-May","Ch",1,0
"20-May","Ch",1,0
