"Date","DAE","treatment","female"
"05 May 2015",6,"Ca",0
"08 May 2015",9,"Ca",1
"11 May 2015",12,"Ca",1
"14 May 2015",15,"Ca",19
"17 May 2015",18,"Ca",17
"20 May 2015",21,"Ca",19
"23 May 2015",24,"Ca",21
"26 May 2015",27,"Ca",16
"29 May 2015",30,"Ca",20
"01 Jun 2015",33,"Ca",15
"05 May 2015",6,"Cb",0
"08 May 2015",9,"Cb",2
"11 May 2015",12,"Cb",12
"14 May 2015",15,"Cb",43
"17 May 2015",18,"Cb",48
"20 May 2015",21,"Cb",40
"23 May 2015",24,"Cb",43
"26 May 2015",27,"Cb",39
"29 May 2015",30,"Cb",25
"01 Jun 2015",33,"Cb",24
"05 May 2015",6,"Cc",0
"08 May 2015",9,"Cc",2
"11 May 2015",12,"Cc",6
"14 May 2015",15,"Cc",9
"17 May 2015",18,"Cc",11
"20 May 2015",21,"Cc",7
"23 May 2015",24,"Cc",4
"26 May 2015",27,"Cc",3
"29 May 2015",30,"Cc",3
"01 Jun 2015",33,"Cc",3
"05 May 2015",6,"Cd",0
"08 May 2015",9,"Cd",2
"11 May 2015",12,"Cd",11
"14 May 2015",15,"Cd",30
"17 May 2015",18,"Cd",29
"20 May 2015",21,"Cd",32
"23 May 2015",24,"Cd",22
"26 May 2015",27,"Cd",19
"29 May 2015",30,"Cd",12
"01 Jun 2015",33,"Cd",8
"05 May 2015",6,"Ce",0
"08 May 2015",9,"Ce",0
"11 May 2015",12,"Ce",4
"14 May 2015",15,"Ce",9
"17 May 2015",18,"Ce",6
"20 May 2015",21,"Ce",4
"23 May 2015",24,"Ce",0
"26 May 2015",27,"Ce",3
"29 May 2015",30,"Ce",1
"01 Jun 2015",33,"Ce",0
"05 May 2015",6,"Cf",0
"08 May 2015",9,"Cf",0
"11 May 2015",12,"Cf",2
"14 May 2015",15,"Cf",21
"17 May 2015",18,"Cf",11
"20 May 2015",21,"Cf",13
"23 May 2015",24,"Cf",14
"26 May 2015",27,"Cf",12
"29 May 2015",30,"Cf",7
"01 Jun 2015",33,"Cf",7
"05 May 2015",6,"Cg",0
"08 May 2015",9,"Cg",1
"11 May 2015",12,"Cg",4
"14 May 2015",15,"Cg",11
"17 May 2015",18,"Cg",9
"20 May 2015",21,"Cg",7
"23 May 2015",24,"Cg",4
"26 May 2015",27,"Cg",2
"29 May 2015",30,"Cg",2
"01 Jun 2015",33,"Cg",2
"05 May 2015",6,"Ch",0
"08 May 2015",9,"Ch",0
"11 May 2015",12,"Ch",0
"14 May 2015",15,"Ch",13
"17 May 2015",18,"Ch",11
"20 May 2015",21,"Ch",10
"23 May 2015",24,"Ch",5
"26 May 2015",27,"Ch",3
"29 May 2015",30,"Ch",2
"01 Jun 2015",33,"Ch",4
