"Date","DAE","treatment","female"
"29 Apr 2015",6,"Ca",11
"02 May 2015",9,"Ca",20
"05 May 2015",12,"Ca",23
"08 May 2015",15,"Ca",45
"11 May 2015",18,"Ca",31
"14 May 2015",21,"Ca",31
"17 May 2015",24,"Ca",31
"20 May 2015",27,"Ca",26
"23 May 2015",30,"Ca",22
"26 May 2015",33,"Ca",15
"29 Apr 2015",6,"Cb",10
"02 May 2015",9,"Cb",14
"05 May 2015",12,"Cb",17
"08 May 2015",15,"Cb",21
"11 May 2015",18,"Cb",23
"14 May 2015",21,"Cb",36
"17 May 2015",24,"Cb",45
"20 May 2015",27,"Cb",41
"23 May 2015",30,"Cb",46
"26 May 2015",33,"Cb",40
"29 Apr 2015",6,"Cc",6
"02 May 2015",9,"Cc",10
"05 May 2015",12,"Cc",19
"08 May 2015",15,"Cc",33
"11 May 2015",18,"Cc",36
"14 May 2015",21,"Cc",46
"17 May 2015",24,"Cc",44
"20 May 2015",27,"Cc",27
"23 May 2015",30,"Cc",20
"26 May 2015",33,"Cc",11
"29 Apr 2015",6,"Cd",15
"02 May 2015",9,"Cd",18
"05 May 2015",12,"Cd",31
"08 May 2015",15,"Cd",40
"11 May 2015",18,"Cd",41
"14 May 2015",21,"Cd",44
"17 May 2015",24,"Cd",31
"20 May 2015",27,"Cd",10
"23 May 2015",30,"Cd",3
"26 May 2015",33,"Cd",3
"29 Apr 2015",6,"Ce",6
"02 May 2015",9,"Ce",17
"05 May 2015",12,"Ce",25
"08 May 2015",15,"Ce",42
"11 May 2015",18,"Ce",36
"14 May 2015",21,"Ce",44
"17 May 2015",24,"Ce",44
"20 May 2015",27,"Ce",32
"23 May 2015",30,"Ce",25
"26 May 2015",33,"Ce",18
"29 Apr 2015",6,"Cf",14
"02 May 2015",9,"Cf",29
"05 May 2015",12,"Cf",43
"08 May 2015",15,"Cf",62
"11 May 2015",18,"Cf",43
"14 May 2015",21,"Cf",17
"17 May 2015",24,"Cf",9
"20 May 2015",27,"Cf",6
"23 May 2015",30,"Cf",3
"26 May 2015",33,"Cf",0
"29 Apr 2015",6,"Cg",9
"02 May 2015",9,"Cg",16
"05 May 2015",12,"Cg",26
"08 May 2015",15,"Cg",30
"11 May 2015",18,"Cg",20
"14 May 2015",21,"Cg",35
"17 May 2015",24,"Cg",38
"20 May 2015",27,"Cg",37
"23 May 2015",30,"Cg",37
"26 May 2015",33,"Cg",35
"29 Apr 2015",6,"Ch",12
"02 May 2015",9,"Ch",18
"05 May 2015",12,"Ch",27
"08 May 2015",15,"Ch",41
"11 May 2015",18,"Ch",31
"14 May 2015",21,"Ch",25
"17 May 2015",24,"Ch",21
"20 May 2015",27,"Ch",16
"23 May 2015",30,"Ch",15
"26 May 2015",33,"Ch",15
