date,treatment,female
4/15/2019,Ca,1
4/18/2019,Ca,14
4/21/2019,Ca,49
4/24/2019,Ca,51
4/27/2019,Ca,45
4/30/2019,Ca,43
5/3/2019,Ca,42
5/6/2019,Ca,39
5/9/2019,Ca,35
5/12/2019,Ca,40
5/15/2019,Ca,37
5/18/2019,Ca,28
4/15/2019,Cb,4
4/18/2019,Cb,14
4/21/2019,Cb,41
4/24/2019,Cb,46
4/27/2019,Cb,40
4/30/2019,Cb,41
5/3/2019,Cb,36
5/6/2019,Cb,35
5/9/2019,Cb,29
5/12/2019,Cb,28
5/15/2019,Cb,24
5/18/2019,Cb,15
4/15/2019,Cc,2
4/18/2019,Cc,13
4/21/2019,Cc,53
4/24/2019,Cc,57
4/27/2019,Cc,51
4/30/2019,Cc,51
5/3/2019,Cc,39
5/6/2019,Cc,39
5/9/2019,Cc,32
5/12/2019,Cc,32
5/15/2019,Cc,31
5/18/2019,Cc,26
4/15/2019,Cd,5
4/18/2019,Cd,18
4/21/2019,Cd,43
4/24/2019,Cd,45
4/27/2019,Cd,30
4/30/2019,Cd,27
5/3/2019,Cd,26
5/6/2019,Cd,24
5/9/2019,Cd,23
5/12/2019,Cd,20
5/15/2019,Cd,16
5/18/2019,Cd,13
4/15/2019,Ce,0
4/18/2019,Ce,8
4/21/2019,Ce,41
4/24/2019,Ce,44
4/27/2019,Ce,36
4/30/2019,Ce,34
5/3/2019,Ce,35
5/6/2019,Ce,33
5/9/2019,Ce,24
5/12/2019,Ce,24
5/15/2019,Ce,21
5/18/2019,Ce,17
4/15/2019,Cf,0
4/18/2019,Cf,12
4/21/2019,Cf,49
4/24/2019,Cf,49
4/27/2019,Cf,39
4/30/2019,Cf,36
5/3/2019,Cf,31
5/6/2019,Cf,30
5/9/2019,Cf,29
5/12/2019,Cf,28
5/15/2019,Cf,27
5/18/2019,Cf,25
4/15/2019,Ra,0
4/18/2019,Ra,11
4/21/2019,Ra,50
4/24/2019,Ra,54
4/27/2019,Ra,35
4/30/2019,Ra,30
5/3/2019,Ra,26
5/6/2019,Ra,24
5/9/2019,Ra,24
5/12/2019,Ra,22
5/15/2019,Ra,24
5/18/2019,Ra,24
4/15/2019,Rb,2
4/18/2019,Rb,18
4/21/2019,Rb,54
4/24/2019,Rb,59
4/27/2019,Rb,39
4/30/2019,Rb,42
5/3/2019,Rb,39
5/6/2019,Rb,38
5/9/2019,Rb,39
5/12/2019,Rb,39
5/15/2019,Rb,39
5/18/2019,Rb,36
4/15/2019,Rc,3
4/18/2019,Rc,10
4/21/2019,Rc,35
4/24/2019,Rc,36
4/27/2019,Rc,20
4/30/2019,Rc,18
5/3/2019,Rc,16
5/6/2019,Rc,17
5/9/2019,Rc,17
5/12/2019,Rc,16
5/15/2019,Rc,15
5/18/2019,Rc,13
