date,treatment,sum.cells,cum.cells
5/11/2021,Ca,113,113
5/14/2021,Ca,107,220
5/17/2021,Ca,39,259
5/20/2021,Ca,69,328
5/23/2021,Ca,68,396
5/26/2021,Ca,27,423
5/11/2021,Cb,148,148
5/14/2021,Cb,130,278
5/17/2021,Cb,41,319
5/20/2021,Cb,70,389
5/23/2021,Cb,62,451
5/26/2021,Cb,28,479
5/11/2021,Cc,124,124
5/14/2021,Cc,114,238
5/17/2021,Cc,39,277
5/20/2021,Cc,76,353
5/23/2021,Cc,71,424
5/26/2021,Cc,32,456
5/11/2021,Cd,146,146
5/14/2021,Cd,169,315
5/17/2021,Cd,53,368
5/20/2021,Cd,90,458
5/23/2021,Cd,87,545
5/26/2021,Cd,35,580
5/11/2021,Ce,152,152
5/14/2021,Ce,106,258
5/17/2021,Ce,38,296
5/20/2021,Ce,57,353
5/23/2021,Ce,62,415
5/26/2021,Ce,17,432
5/11/2021,Cf,164,164
5/14/2021,Cf,141,305
5/17/2021,Cf,59,364
5/20/2021,Cf,82,446
5/23/2021,Cf,73,519
5/26/2021,Cf,42,561
5/11/2021,Ra,85,85
5/14/2021,Ra,5,90
5/17/2021,Ra,1,91
5/20/2021,Ra,1,92
5/23/2021,Ra,4,96
5/26/2021,Ra,3,99
5/11/2021,Rb,79,79
5/14/2021,Rb,1,80
5/17/2021,Rb,0,80
5/20/2021,Rb,1,81
5/23/2021,Rb,0,81
5/26/2021,Rb,1,82
5/11/2021,Rc,67,67
5/14/2021,Rc,5,72
5/17/2021,Rc,1,73
5/20/2021,Rc,1,74
5/23/2021,Rc,1,75
5/26/2021,Rc,0,75
5/11/2021,Rd,42,42
5/14/2021,Rd,8,50
5/17/2021,Rd,0,50
5/20/2021,Rd,1,51
5/23/2021,Rd,4,55
5/26/2021,Rd,3,58
